"question","answer","status","citations"
"GRC-07.1","The provided context does not contain enough information to answer the question GRC-07.1 as it only includes metadata from the Incident Response Plan and Business Continuity and Disaster Recovery documents without any relevant details.","approved","Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"" | Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"""
"requirements applicable to your organization identified and documented?","Yes, the requirements applicable to the organization are identified and documented in the Information Security Policy (ISP) document, specifically in Section 4. Human Resources Security, which outlines the background check and security training requirements for all employees and contractors.","approved","Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"and statutory requirements","The organization adheres to statutory requirements such as GDPR and CCPA as part of its security awareness training for all personnel. This training is mandatory upon hire and annually thereafter, indicating a commitment to complying with relevant data privacy laws.","approved","information_security_policy.md: ""## 2. Password Requirements
For legacy systems that do not yet support SSO, or for service accounts, the following password complexity rules are enforced systematically:
* Minimum length of 14 charact"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"at least annually or upon significant changes.","A certified third-party security firm conducts an independent penetration test at least annually.","approved","Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"GRC-07.2","The provided context does not contain enough information to answer question GRC-07.2. The context only includes metadata from the Incident Response Plan and Business Continuity and Disaster Recovery documents, but does not provide any details about the specific question.","approved","Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"" | Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"""
"HRS-03.1","All employees and contractors must undergo standard criminal background checks prior to employment and complete security awareness training upon hire and annually thereafter.","approved","Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"data established","The context does not contain enough information to answer the question about 'data established'. The provided chunks only discuss data backups, retention, and deletion policies, but do not provide information about when or how data is established.","approved","data_management_policy.md: ""## 3. Data Backups and Retention
* Full database backups are performed daily and stored in an isolated, logically separated AWS account.
* Backups are retained for exactly 30 days before being automat"""
"maintained?","The context provided does not contain enough information to answer how something is maintained. It discusses vulnerability management and change management but does not specify what is being maintained.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"policies and procedures that require unattended workspaces to not have openly","The provided context does not contain information about policies and procedures that require unattended workspaces to not have openly accessible sensitive information. However, it does mention that full disk encryption is enforced on all endpoints and USB mass storage devices are disabled via policy, which may indirectly contribute to securing unattended workspaces.","approved","information_security_policy.md: ""## 3. Endpoint Management
All company-issued workstations (laptops and desktops) are managed via Mobile Device Management (MDM) solutions (Jamf for macOS, Microsoft Intune for Windows). 
* Full disk e"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"visible confidential data. Review and update the policies and procedures at","The context does not provide enough information to determine the specific policies and procedures that need to be reviewed and updated regarding visible confidential data. However, based on the provided context, it appears that both NIMBUSGUARD TECHNOLOGIES, INC. and ApexCloud Solutions have information security policies and data protection policies in place, which may include procedures for handling confidential data.","approved","02_Data_Protection_Privacy_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Data Protection and Privacy Policy
Data Classification, Encryption, Retention & Privacy Controls
Document ID: NG-DPP-002 Version: 3.8
Effective Date: February 1, 2026 Ow"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
"least annually","The Code of Conduct is reviewed and re-acknowledged annually by all staff.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"" | 05_HR_Security_Policy.pdf (p.3): ""For internal role changes, a formal access review is triggered by the HRIS (Workday) and completed within
5 business days. The principle of least privilege is reapplied: previous role access is remove"""
"HRS-03.2","The provided context does not contain enough information to answer question HRS-03.2. The context appears to be related to security policies and business continuity plans, but it does not provide specific details about the question.","approved","05_HR_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Human Resources Security Policy
Pre-employment, Awareness Training, Termination & Code of Conduct
Document ID: NG-HRS-005 Version: 2.6
Effective Date: February 5, 2026 O"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 03_Business_Continuity_DR_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Business Continuity and Disaster Recovery
Plan
Resilience, Recovery Objectives & Testing Procedures
Document ID: NG-BCP-003 Version: 3.1
Effective Date: January 20, 2026"" | Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"""
"data reviewed and updated at least annually","Service account review is performed semi-annually, but data classification must be reviewed whenever data is shared, migrated, or archived, and some data categories have annual or less frequent review and update, such as employee HR records which are kept for the duration of employment + 7 years, and marketing analytics which are anonymized then deleted after 24 months. However, specific data categories like audit trail/compliance logs are reviewed and updated less frequently, every 7 years.","approved","07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | 02_Data_Protection_Privacy_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Data Protection and Privacy Policy
Data Classification, Encryption, Retention & Privacy Controls
Document ID: NG-DPP-002 Version: 3.8
Effective Date: February 1, 2026 Ow"" | Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"""
"HRS-04.1","All employees and contractors must undergo standard criminal background checks prior to employment and complete security awareness training upon hire and annually thereafter.","approved","05_HR_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Human Resources Security Policy
Pre-employment, Awareness Training, Termination & Code of Conduct
Document ID: NG-HRS-005 Version: 2.6
Effective Date: February 5, 2026 O"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"stored at remote sites and locations established","Backups are stored in an isolated, immutable storage bucket in a geographically distinct region from the primary data source, which can be considered as a remote site.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"""
"applied","The provided context does not contain enough information to answer the question about 'applied'. The context appears to be related to ApexCloud Solutions' AppSec & TVM Policy and Incident Response Plan, but it does not provide any specific details about the application of these policies or plans.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""## 1. Scope
This document defines the process for detecting, analyzing, responding to, and recovering from cybersecurity incidents affecting ApexCloud systems."""
"policies and procedures to protect information accessed","NIMBUSGUARD TECHNOLOGIES, INC. has established various policies and procedures to protect information accessed, including Data Protection and Privacy Policy, Information Security Policy, and Identity and Access Management Policy. These policies outline controls such as data classification, encryption, retention, authentication, authorization, and privileged access to ensure the confidentiality, integrity, and availability of information.","approved","02_Data_Protection_Privacy_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Data Protection and Privacy Policy
Data Classification, Encryption, Retention & Privacy Controls
Document ID: NG-DPP-002 Version: 3.8
Effective Date: February 1, 2026 Ow"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
"at remote sites and locations. Review and update the policies and procedures","The provided context does not contain enough information to fully answer the question about reviewing and updating policies and procedures at remote sites and locations. However, based on the available information, it appears that the organization has various security policies and procedures in place, including an Infrastructure and Operations Security Policy and an Incident Response Plan. These documents outline procedures for managing security, responding to incidents, and conducting post-incident reviews, but they do not specifically address the review and update of policies and procedures at remote sites and locations.","approved","06_Infrastructure_Operations_Security.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Infrastructure and Operations Security Policy
Cloud Architecture, Network Security, Change Management & Monitoring
Document ID: NG-INF-006 Version: 4.0
Effective Date: J"" | 04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
"at least annually","Security awareness training is required for all personnel upon hire and at least annually thereafter.","approved","07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"HRS-04.2","All personnel must complete security awareness training upon hire and annually thereafter. Training includes phishing awareness, data privacy (GDPR/CCPA), and password hygiene.","approved","05_HR_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Human Resources Security Policy
Pre-employment, Awareness Training, Termination & Code of Conduct
Document ID: NG-HRS-005 Version: 2.6
Effective Date: February 5, 2026 O"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"stored at remote sites and locations reviewed and updated at least annually","The context does not contain information about reviews and updates of stored items at remote sites and locations. However, it does mention that disaster recovery failover and backup restoration are tested bi-annually, and access reviews are performed at various frequencies.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"" | 07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"""
"HRS-11.1","The provided context does not contain enough information to answer question HRS-11.1. The context appears to be related to security policies and incident response plans, but it does not provide specific details about HRS-11.1.","approved","05_HR_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Human Resources Security Policy
Pre-employment, Awareness Training, Termination & Code of Conduct
Document ID: NG-HRS-005 Version: 2.6
Effective Date: February 5, 2026 O"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"established","The context does not provide enough information to determine what has been established. However, it mentions various policies and procedures, such as the Incident Response Plan, Information Security Policy, and Data Management and Encryption Policy, which have been established with effective dates and versions.","approved","04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"" | data_management_policy.md: ""# StrataFlow Enterprise: Data Management and Encryption Policy
**Effective Date:** November 10, 2025
**Version:** 4.0"""
"a security awareness training program for all employees of the organization","The organization has a security awareness training program that all personnel must complete upon hire and annually thereafter. The training includes phishing awareness, data privacy (GDPR/CCPA), and password hygiene.","approved","Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must "" | 05_HR_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Human Resources Security Policy
Pre-employment, Awareness Training, Termination & Code of Conduct
Document ID: NG-HRS-005 Version: 2.6
Effective Date: February 5, 2026 O"""
"and provide regular training updates.","The organization provides security awareness training to all personnel upon hire and annually thereafter, which includes phishing awareness, data privacy (GDPR/CCPA), and password hygiene. However, the context does not explicitly mention 'regular training updates' beyond the annual training.","approved","Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must "" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"HRS-11.2","The provided context does not contain enough information to answer question HRS-11.2. The context appears to be related to security policies and incident response plans, but it does not provide specific details about HRS-11.2.","approved","05_HR_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Human Resources Security Policy
Pre-employment, Awareness Training, Termination & Code of Conduct
Document ID: NG-HRS-005 Version: 2.6
Effective Date: February 5, 2026 O"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"IAM-01.1","The organization has an Identity and Access Management Policy (IAM) in place, as documented in NIMBUSGUARD TECHNOLOGIES, INC.'s 07_Identity_Access_Management_Policy.pdf. However, the context does not provide specific details about the policy's content or controls.","approved","07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 06_Infrastructure_Operations_Security.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Infrastructure and Operations Security Policy
Cloud Architecture, Network Security, Change Management & Monitoring
Document ID: NG-INF-006 Version: 4.0
Effective Date: J"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
"approved","The Identity and Access Management Policy document is approved.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"""
"maintain policies and procedures for identity and access management. Review","The organization maintains policies and procedures for identity and access management through its Information Security Policy and Identity and Access Management Policy. These policies outline the guidelines for Role-Based Access Control (RBAC), Multi-Factor Authentication (MFA), Access Reviews, and Offboarding procedures to ensure that all access to production systems and customer data is strictly governed and follows the principle of least privilege.","approved","Information_Security_Policy.md: ""## 2. Identity and Access Management (IAM)
* **Role-Based Access Control (RBAC):** All access to production systems and customer data is strictly governed by RBAC, adhering to the principle of least p"" | 07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"""
"and update the policies and procedures at least annually","The provided context does not explicitly state that policies and procedures are updated at least annually. However, it is mentioned that the Code of Conduct is reviewed and re-acknowledged annually by all staff, and security awareness training is completed annually by all personnel.","approved","05_HR_Security_Policy.pdf (p.3): ""For internal role changes, a formal access review is triggered by the HRIS (Workday) and completed within
5 business days. The principle of least privilege is reapplied: previous role access is remove"" | information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"IAM-01.2","The organization has an Identity and Access Management Policy in place, as documented in NIMBUSGUARD TECHNOLOGIES, INC.'s 07_Identity_Access_Management_Policy.pdf, which outlines the controls for authentication, authorization, privileged access, and SSO.","approved","07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
"at least annually","Security awareness training is required for all personnel upon hire and at least annually thereafter.","approved","07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"IAM-03.1","The provided context does not contain enough information to answer question IAM-03.1. The context chunks include various security policy documents, but none of them directly reference or answer a specific question labeled as IAM-03.1.","approved","07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 06_Infrastructure_Operations_Security.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Infrastructure and Operations Security Policy
Cloud Architecture, Network Security, Change Management & Monitoring
Document ID: NG-INF-006 Version: 4.0
Effective Date: J"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"their level of access.","Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC), adhering to the principle of least privilege. Access privileges are reviewed quarterly by the Security and Compliance team or department heads and the IT Security team.","approved","information_security_policy.md: ""## 1. Access Control
Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC). All employee access requires authentication via our centralized"" | Information_Security_Policy.md: ""## 2. Identity and Access Management (IAM)
* **Role-Based Access Control (RBAC):** All access to production systems and customer data is strictly governed by RBAC, adhering to the principle of least p"""
"IAM-04.1","The Identity and Access Management Policy is documented in NG-IAM-007, version 3.5, which outlines the company's approach to authentication, authorization, privileged access, and SSO controls.","approved","07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 06_Infrastructure_Operations_Security.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Infrastructure and Operations Security Policy
Cloud Architecture, Network Security, Change Management & Monitoring
Document ID: NG-INF-006 Version: 4.0
Effective Date: J"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"system access?","System access is strictly governed by Role-Based Access Control (RBAC), adhering to the principle of least privilege, with Multi-Factor Authentication (MFA) enforced for all employee access to corporate networks, infrastructure, and third-party tools.","approved","Information_Security_Policy.md: ""## 2. Identity and Access Management (IAM)
* **Role-Based Access Control (RBAC):** All access to production systems and customer data is strictly governed by RBAC, adhering to the principle of least p"" | information_security_policy.md: ""## 1. Access Control
Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC). All employee access requires authentication via our centralized"""
"system access.","System access is strictly governed by Role-Based Access Control (RBAC), adhering to the principle of least privilege. Multi-Factor Authentication (MFA) is enforced for all employee access to corporate networks, infrastructure, and third-party tools. Access privileges are reviewed quarterly by department heads and the IT Security team.","approved","Information_Security_Policy.md: ""## 2. Identity and Access Management (IAM)
* **Role-Based Access Control (RBAC):** All access to production systems and customer data is strictly governed by RBAC, adhering to the principle of least p"" | information_security_policy.md: ""## 1. Access Control
Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC). All employee access requires authentication via our centralized"""
"IAM-05.1","The provided context does not contain enough information to answer the question IAM-05.1. The context appears to be related to identity and access management policies and incident response plans, but it does not provide a clear question or enough details to provide a specific answer.","approved","07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"access?","Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC) and requires authentication via a centralized Identity Provider (Okta SSO) with Multi-Factor Authentication (MFA) enforced globally.","approved","information_security_policy.md: ""## 1. Access Control
Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC). All employee access requires authentication via our centralized"" | Information_Security_Policy.md: ""## 2. Identity and Access Management (IAM)
* **Role-Based Access Control (RBAC):** All access to production systems and customer data is strictly governed by RBAC, adhering to the principle of least p"""
"system access.","System access is strictly governed by Role-Based Access Control (RBAC), adhering to the principle of least privilege. Multi-Factor Authentication (MFA) is enforced for all employee access to corporate networks, infrastructure, and third-party tools. Access privileges are reviewed quarterly by department heads and the IT Security team.","approved","Information_Security_Policy.md: ""## 2. Identity and Access Management (IAM)
* **Role-Based Access Control (RBAC):** All access to production systems and customer data is strictly governed by RBAC, adhering to the principle of least p"" | information_security_policy.md: ""## 1. Access Control
Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC). All employee access requires authentication via our centralized"""
"IAM-06.1","The provided context does not contain enough information to answer the question IAM-06.1. However, based on the available context, it appears that NimbusGuard Technologies, Inc. has an Identity and Access Management Policy (NG-IAM-007) that outlines authentication, authorization, privileged access, and SSO controls.","approved","07_Identity_Access_Management_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Identity and Access Management Policy
Authentication, Authorization, Privileged Access & SSO Controls
Document ID: NG-IAM-007 Version: 3.5
Effective Date: February 10, 2"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 06_Infrastructure_Operations_Security.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Infrastructure and Operations Security Policy
Cloud Architecture, Network Security, Change Management & Monitoring
Document ID: NG-INF-006 Version: 4.0
Effective Date: J"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
